Dataset,Horizon,Model,Type,n_folds,MSE,RMSE,MAE,MAPE,Directional_Accuracy,Strategy_Return_Pct,inference_time,Sharpe_Ratio,Max_Drawdown,Calmar_Ratio
BTC_Daily,7,naive,naive,156,10215046.953749636,2477.1577680875653,2130.135464958219,3.320755162526922,0.0,0.0,0.0002018885734753731,0.0,0.0,0.0
BTC_Daily,7,arima,classical,156,10281660.172585418,2528.43749077803,2175.582494583726,3.395171670944142,32.05128205128205,-0.011910418414765332,0.6426942715278039,-0.13895016985922248,22.323380720321005,-0.39537596916764406
BTC_Daily,7,ses,classical,156,10219010.73105699,2475.649090028597,2129.3823152047066,3.3200407751979,45.51282051282051,-0.19270136095606533,0.0016010250800695175,-1.7811724059590843,37.423234370424986,-1.4509246293176787
BTC_Daily,7,holt,classical,156,10363518.671432892,2495.720504496393,2152.0749052956917,3.3667174305852825,48.07692307692308,-0.10878521407447497,0.00932780595926138,-1.002537583429909,38.13935797554903,-0.994170542179052
BTC_Daily,7,timegpt,foundation,156,11015726.13027882,2606.6177948680534,2250.84829142342,3.561337640471048,53.205128205128204,0.18069716411947273,2.463276589528108,1.6693343697386394,20.540667434993303,3.846371320835413
BTC_Daily,7,moirai,foundation,156,13453590.18343857,2962.4245756410787,2575.611095610119,4.13949997700478,47.43589743589744,-0.023750030958864635,0.06696934272081424,-0.2185861326637032,22.803883437260797,-0.665135231734507
BTC_Daily,7,chronos,foundation,156,10591526.949955042,2547.1647933272416,2183.425262562958,3.4585328674883193,52.56410256410256,-0.010487805359723304,0.0821229066604223,-0.09652060075338535,27.38869888063157,-0.4033985464512317
BTC_Daily,7,timesfm,foundation,156,35085053.53939884,4977.636848361447,4574.270786830357,8.788890561077633,46.15384615384615,-0.21854937570775293,0.05467557295774802,-2.0226242879686525,32.30652798707847,-1.8074646428386767
BTC_Daily,7,gemma4_local,llm_local,156,13514162.997236384,2792.819916728593,2421.5153450520834,3.633044477362978,52.56410256410256,0.19486029094880106,4.007539188250517,1.8013053154837735,14.415980785965921,6.146028680539329
BTC_Daily,7,qwen3_local,llm_local,156,20284552.46972434,3306.1409397297903,2938.363042940133,4.544728916414472,57.05128205128205,0.40370994552424605,6.659298999187274,3.7917333708624725,10.829740612309285,28.09526057288894
