Dataset,Model,RMSE,MAPE,Directional_Accuracy,inference_time,Type,MSE,MAE,Strategy_Return_Pct
SP500_Monthly,arima,164.29475397831183,2.718883997813703,58.333333333333336,0.061882575352986656,classical,40035.73655677542,164.29475397831183,0.4920050573290076
SP500_Monthly,ses,169.46567111958333,2.7684736389818583,33.333333333333336,0.001289983590443929,classical,42574.12644141932,169.46567111958333,-0.9292775592315756
SP500_Monthly,holt,167.69941807130476,2.764317418509496,50.0,0.0019406874974568684,classical,40073.18443357704,167.69941807130476,0.13089568181832803
SP500_Monthly,holt_winters,212.52025687634622,3.394480443135455,33.333333333333336,0.005224903424580892,classical,70235.92147315036,212.52025687634622,-0.9292775592315756
SP500_Monthly,timegpt,141.14997220052086,2.304281031143214,75.0,3.0044416785240173,foundation,33384.58117307481,141.14997220052086,1.4458681042291015
SP500_Monthly,moirai,197.17333984375,3.2277690355472743,50.0,0.06765717267990112,foundation,60712.874242424965,197.17333984375,-0.27561763031241576
SP500_Monthly,chronos,201.80843098958334,3.2820681117625923,8.333333333333334,0.04301067193349203,foundation,49646.95872890949,201.80843098958334,-1.625653081944628
SP500_Monthly,llama3_local,512.8016552734374,8.131333691201277,33.333333333333336,1.453488826751709,llm_local,351360.092822969,512.8016552734374,-0.6190874464338383
SP500_Daily,arima,21.25727939856118,0.3109915857265497,30.0,0.05546682675679525,classical,973.3551332532758,21.25727939856118,0.013268269929565377
SP500_Daily,ses,20.908743485880162,0.30589742974186795,20.0,0.0012628555297851563,classical,964.6929450884928,20.908743485880162,-0.09396859445738641
SP500_Daily,holt,21.747982345059246,0.31813868746447177,33.333333333333336,0.0019038995107014975,classical,982.5080346067755,21.747982345059246,-0.04170723045889639
SP500_Daily,holt_winters,23.191051843146912,0.33925674267375366,30.0,0.006746927897135417,classical,1076.4783979361684,23.191051843146912,-0.0721266573522449
SP500_Daily,timegpt,27.55522981770825,0.4024974790664514,30.0,3.0474023183186847,foundation,1375.3193494037612,27.55522981770825,-0.05248315467639905
SP500_Daily,moirai,26.909602864583334,0.3933550275812138,26.666666666666668,0.06796739101409913,foundation,1159.485029411316,26.909602864583334,-0.08617523775847463
SP500_Daily,chronos,25.136735026041666,0.36767610295302183,43.333333333333336,0.020698928833007814,foundation,1210.0851551453272,25.136735026041666,0.02383989563168197
SP500_Daily,llama3_local,40.67471809895836,0.5922384176530711,36.666666666666664,1.3375217199325562,llm_local,2784.0129435429512,40.67471809895836,-0.025673906355893384
EURUSD_Daily,arima,0.001570893214965996,0.13408874896321726,26.666666666666668,0.09056942462921143,classical,5.72484559089417e-06,0.001570893214965996,-0.03566086135518041
EURUSD_Daily,ses,0.0013955891161002412,0.11910109061144825,36.666666666666664,0.001188206672668457,classical,5.197984317074773e-06,0.0013955891161002412,0.011207436005709299
EURUSD_Daily,holt,0.0014211982515771307,0.12128018198946083,33.333333333333336,0.0019356091817220053,classical,5.290219480402042e-06,0.0014211982515771307,-0.03351135552309619
EURUSD_Daily,holt_winters,0.0017146112048050425,0.14628951697790304,36.666666666666664,0.007177519798278809,classical,5.853988058369607e-06,0.0017146112048050425,0.0018260090426878216
EURUSD_Daily,timegpt,0.002052853354899072,0.1750790739165937,33.333333333333336,2.906304057439168,foundation,7.2280915636633965e-06,0.002052853354899072,0.018531356027719936
EURUSD_Daily,moirai,0.002258523305257169,0.19259133044651572,36.666666666666664,0.06776173909505208,foundation,1.1717297302501118e-05,0.002258523305257169,0.0006694302457657295
EURUSD_Daily,chronos,0.003148881594339999,0.26884884710006574,33.333333333333336,0.017669216791788737,foundation,1.4737144494840004e-05,0.003148881594339999,-0.053400553476251375
EURUSD_Daily,llama3_local,0.003569395701090531,0.3048156500248184,26.666666666666668,1.1206421454747517,llm_local,1.7121494356162686e-05,0.003569395701090531,-0.06900186056209474
EURUSD_Monthly,arima,0.019159416357676224,1.6800947203582164,0.0,0.054022649923960366,classical,0.0006902180236447022,0.019159416357676224,0.0
EURUSD_Monthly,ses,0.019158949455046315,1.6800551628394353,58.333333333333336,0.0014545718828837078,classical,0.0006902277077499213,0.019158949455046315,0.550126568854486
EURUSD_Monthly,holt,0.01959721211135133,1.718303617836713,33.333333333333336,0.002106010913848877,classical,0.0007188012515515254,0.01959721211135133,-0.7686965094829156
EURUSD_Monthly,holt_winters,0.06119056788030519,5.318881891107113,33.333333333333336,0.0054553548494974775,classical,0.0055071672528960135,0.06119056788030519,-1.0524380847726815
EURUSD_Monthly,timegpt,0.026250667861048422,2.3031123706491283,33.333333333333336,3.3253289461135864,foundation,0.0011401589555973858,0.026250667861048422,-0.36840322723071867
EURUSD_Monthly,moirai,0.025464435418446896,2.2284275331733103,41.666666666666664,0.07047428687413533,foundation,0.001167539222935928,0.025464435418446896,-0.31296482482747856
EURUSD_Monthly,chronos,0.023132870594660477,2.0267195185908986,50.0,0.023598392804463703,foundation,0.0009961263825116415,0.023132870594660477,-0.7711446718055255
EURUSD_Monthly,llama3_local,0.018570670684178708,1.6290956635755605,66.66666666666667,1.263745864232381,llm_local,0.0006884443569784405,0.018570670684178708,0.4636460490413922
BTC_Daily,arima,1148.0641268734219,1.282828556907311,3.3333333333333335,0.05256102085113525,classical,2533784.274573256,1148.0641268734219,-0.014694983157186004
BTC_Daily,ses,1148.3356707308878,1.2832796834649423,60.0,0.001198720932006836,classical,2516895.8649513246,1148.3356707308878,0.4097350564749403
BTC_Daily,holt,1185.8442091161803,1.3231400791826398,46.666666666666664,0.0019000689188639322,classical,2635515.3507798817,1185.8442091161803,-0.06142847682423696
