Dataset,Horizon,Model,Type,n_folds,MSE,RMSE,MAE,MAPE,Directional_Accuracy,Strategy_Return_Pct,inference_time,Sharpe_Ratio,Max_Drawdown,Calmar_Ratio
SP500_Daily,5,naive,naive,156,6358.085485268174,66.37507362911099,57.76869334685496,1.091618454753169,0.0,0.0,0.00024372186416234725,0.0,0.0,0.0
SP500_Daily,5,arima,classical,156,6501.300309287868,67.05776259114165,58.277272958825016,1.1011907103999228,17.307692307692307,-0.0018418524837123323,0.1941320254252507,-0.08513767426013617,3.7785721539267305,-0.1616045263678366
SP500_Daily,5,ses,classical,156,6360.948149858541,66.38187482286742,57.781979274683614,1.0917793345669309,48.717948717948715,0.02107278208478579,0.0013584861388573279,0.4016692993626642,6.324558163037911,0.7184294031252836
SP500_Daily,5,holt,classical,156,6348.6802872747785,66.4598554366679,57.76985723628717,1.094668073604976,53.205128205128204,0.12247865628574392,0.006544056611183362,2.3596257331301045,6.464589706334187,5.412287211790758
SP500_Daily,5,timegpt,foundation,156,7102.293576846558,70.11034697839484,61.25204697616186,1.1545050020130532,54.48717948717949,0.07833044983441895,2.393376941864307,1.4992643639060763,7.096340758469088,2.926601642004135
SP500_Daily,5,moirai,foundation,156,9791.734127991782,80.85042671917024,71.22176231971153,1.3426617201368778,46.794871794871796,-0.0367015721664678,0.07807467381159465,-0.7000291574537687,11.137821040888007,-0.8642077000476602
SP500_Daily,5,chronos,foundation,156,6238.841387035755,66.48359403816828,58.037812374799685,1.1052962343576707,50.64102564102564,0.07804782041061195,0.06611578586773995,1.4938064671230153,4.49195701345362,4.605350143004263
SP500_Daily,5,timesfm,foundation,156,40601.92492304162,188.83478937361164,167.72215701372195,3.232218631397193,40.38461538461539,-0.0860690249246784,0.06211485312535213,-1.648918018567019,15.89461347213024,-1.2707041750573829
SP500_Daily,5,gemma4_local,llm_local,156,11861.434098337855,81.3050306761447,72.2003848407452,1.3751814367122002,46.794871794871796,-0.08665851579270334,2.9668348935934215,-1.66033545010021,20.993190027472146,-0.9677411017212211
SP500_Daily,5,qwen3_local,llm_local,156,9692.68301999776,77.6231939006267,68.34335872395835,1.2956906504158723,52.56410256410256,0.08615018966940428,5.053161526337648,1.6627544267818481,7.379477831810075,3.142151562316908
EURUSD_Daily,5,naive,naive,156,6.622478024993216e-05,0.006842255838434949,0.005945750230397932,0.5413676427590627,0.0,0.0,0.00022588632045648037,0.0,0.0,0.0
EURUSD_Daily,5,arima,classical,156,6.622478024993216e-05,0.006842255838434949,0.005945750230397932,0.5413676427590627,0.0,0.0,0.0861358887110001,0.0,0.0,0.0
EURUSD_Daily,5,ses,classical,156,6.622469410144027e-05,0.006842255739106055,0.005945745594786648,0.5413671171152723,53.205128205128204,0.033144650824089315,0.0013788571724524866,1.1880467026535775,3.80979115667054,2.216194269951023
EURUSD_Daily,5,holt,classical,156,6.699273993493332e-05,0.006867007780417626,0.005969363872333502,0.5435070182121979,51.92307692307692,0.02348894498179117,0.0061299663323622485,0.8407659398965472,3.416863108094305,1.70817108197101
EURUSD_Daily,5,timegpt,foundation,156,7.960165969013486e-05,0.007444848110346429,0.0065050312647971145,0.5926901900500798,57.05128205128205,0.04837936971799819,2.571357487103878,1.7396769400761416,2.401052260191368,5.284144575785502
EURUSD_Daily,5,moirai,foundation,156,8.879648008399514e-05,0.007980432601982243,0.00698007284066616,0.6354670542133067,53.84615384615385,-0.013926581323565045,0.06977447485312438,-0.49803393590117356,7.207929640261397,-0.5115426239818669
EURUSD_Daily,5,chronos,foundation,156,7.914061300797633e-05,0.007605762252413446,0.0067105875565455515,0.6109313586759251,46.794871794871796,-0.04485979031454845,0.05903068414101234,-1.6117509964401016,9.654611851890643,-1.1299671416894679
EURUSD_Daily,5,timesfm,foundation,156,0.00037351101633853126,0.017318212505347336,0.01514499355585147,1.3754859422790398,53.205128205128204,0.036534671995049235,0.05529240767161051,1.3103540092997015,3.416863108094305,2.743322504841352
EURUSD_Daily,5,gemma4_local,llm_local,156,0.0001670112763117422,0.010384663648884431,0.009225161161178205,0.8378980497197153,61.53846153846154,0.06896789171568038,1.7933217516312232,2.49563876520532,4.725264271260078,3.9550435303528584
EURUSD_Daily,5,qwen3_local,llm_local,156,7.771287066446459e-05,0.007675823467330663,0.006699499863844663,0.6091755606926762,56.41025641025641,0.006503871541183379,3.2531076165346,0.23249747506010146,5.944736895489223,0.23575125632248162
