model,type,window_id,test_date,y_true,y_pred,inference_time,MSE,RMSE,MAE,MAPE,Directional_Accuracy
arima,classical,1,2024-03-31,3339.2,2300.5285861092507,0.5769894123077393,1078838.3060338078,1038.6714138907491,1038.6714138907491,31.105396918145605,100.0
arima,classical,2,2024-04-30,3650.6,3525.120177103721,0.5994551181793213,15745.185954081562,125.47982289627907,125.47982289627907,3.4372383415404495,100.0
arima,classical,3,2024-05-31,3020.3,3533.808178697504,0.5540058612823486,263690.6495892275,513.5081786975038,513.5081786975038,17.001893146292975,100.0
arima,classical,4,2024-06-30,3768.2,3002.685579355441,0.4952249526977539,586012.3282147746,765.5144206445589,765.5144206445589,20.315121825925868,0.0
arima,classical,5,2024-07-31,3441.7,3936.229278807179,0.6637403964996338,244559.20759754884,494.52927880717925,494.52927880717925,14.368750292215035,0.0
arima,classical,6,2024-08-31,3237.0,3243.2565140552324,0.6475319862365723,39.14396812332058,6.256514055232401,6.256514055232401,0.19328124977547753,100.0
arima,classical,7,2024-09-30,2519.4,3387.653510975534,0.7288684844970703,753864.1593213418,868.253510975534,868.253510975534,34.462709810887496,0.0
arima,classical,8,2024-10-31,2607.8,2519.4,0.20829010009765625,7814.560000000016,88.40000000000009,88.40000000000009,3.389830508474449,0.0
arima,classical,9,2024-11-30,2519.0,2607.8,0.2377774715423584,7885.440000000032,88.80000000000018,88.80000000000018,3.5252084160379775,0.0
arima,classical,10,2024-12-31,3708.4,2519.0,0.2455153465270996,1414672.36,1189.4,1189.4,32.07313126954935,0.0
ses,classical,1,2024-03-31,3339.2,2283.000347661763,0.010132789611816406,1115557.7055994123,1056.1996523382368,1056.1996523382368,31.630320206582567,100.0
ses,classical,2,2024-04-30,3650.6,3339.094380034766,0.0017464160919189453,97035.7512699248,311.505619965234,311.505619965234,8.532997862412357,0.0
ses,classical,3,2024-05-31,3020.3,3650.5688494380033,0.0017464160919189453,397238.8225719043,630.2688494380031,630.2688494380031,20.86775649564554,100.0
ses,classical,4,2024-06-30,3768.2,3020.3630268849442,0.0026586055755615234,559260.1383578883,747.8369731150556,747.8369731150556,19.846000029590673,100.0
ses,classical,5,2024-07-31,3441.7,3768.1252163026884,0.0027976036071777344,106553.42183825703,326.42521630268857,326.42521630268857,9.484418058014327,100.0
ses,classical,6,2024-08-31,3237.0,3441.73264252163,0.003268003463745117,41915.45491388961,204.73264252163017,204.73264252163017,6.32476498367698,0.0
ses,classical,7,2024-09-30,2519.4,3237.0204732642524,0.0,514979.1436480094,717.6204732642523,717.6204732642523,28.48378476082495,0.0
ses,classical,8,2024-10-31,2607.8,2519.4717620473266,0.005243062973022461,7801.877619824127,88.32823795267359,88.32823795267359,3.387078685200943,100.0
ses,classical,9,2024-11-30,2519.0,2607.791167176205,0.0017466545104980469,7883.871368512768,88.79116717620491,88.79116717620491,3.5248577680111706,100.0
ses,classical,10,2024-12-31,3708.4,2519.0088791167177,0.002006053924560547,1414651.2384359909,1189.3911208832824,1189.3911208832824,32.07289183699844,100.0
holt,classical,1,2024-03-31,3339.2,2309.7481975026426,0.005280494689941406,1059771.0136650577,1029.4518024973572,1029.4518024973572,30.829294516570627,100.0
holt,classical,2,2024-04-30,3650.6,3377.9135085215125,0.0019097328186035156,74357.92263484717,272.68649147848737,272.68649147848737,7.4696348950441,100.0
holt,classical,3,2024-05-31,3020.3,3692.7739589683674,0.0072324275970458984,452221.2254905893,672.4739589683672,672.4739589683672,22.26513786605122,0.0
holt,classical,4,2024-06-30,3768.2,3054.811258183565,0.0024862289428710938,508923.4969504361,713.388741816435,713.388741816435,18.9318173615099,100.0
holt,classical,5,2024-07-31,3441.7,3810.605237721611,0.007517814636230469,136091.07441843848,368.90523772161123,368.90523772161123,10.718692440410278,0.0
holt,classical,6,2024-08-31,3237.0,3479.3507595475985,0.005129814147949219,58733.89065329791,242.3507595475985,242.3507595475985,7.486894023713036,0.0
holt,classical,7,2024-09-30,2519.4,3272.1471838081525,0.0041942596435546875,566628.3227311043,752.7471838081524,752.7471838081524,29.878033809959614,0.0
holt,classical,8,2024-10-31,2607.8,2546.2877352159358,0.0,3783.7587188648527,61.51226478406443,61.51226478406443,2.3587799978549757,100.0
holt,classical,9,2024-11-30,2519.0,2635.6089787235633,0.010763883590698242,13597.653918952432,116.60897872356327,116.60897872356327,4.629177400697048,0.0
holt,classical,10,2024-12-31,3708.4,2544.799368412213,0.004339456558227539,1353966.4298314971,1163.6006315877871,1163.6006315877871,31.377430471032135,100.0
holt_winters,classical,1,2024-03-31,3339.2,2429.1668804581354,0.020966768264770508,828160.2786630972,910.0331195418644,910.0331195418644,27.25302825652363,100.0
holt_winters,classical,2,2024-04-30,3650.6,3345.692816795302,0.015953779220581055,92968.39036982325,304.90718320469796,304.90718320469796,8.35224848530898,100.0
holt_winters,classical,3,2024-05-31,3020.3,3623.6197354436,0.016682147979736328,363994.70317573514,603.3197354435997,603.3197354435997,19.975490363327474,100.0
holt_winters,classical,4,2024-06-30,3768.2,2925.560207466872,0.028961658477783203,710041.819960273,842.639792533128,842.639792533128,22.36186488331579,0.0
holt_winters,classical,5,2024-07-31,3441.7,3830.410104436772,0.019032955169677734,151095.54529124644,388.7101044367723,388.7101044367723,11.294130936361713,0.0
holt_winters,classical,6,2024-08-31,3237.0,3606.718923395534,0.016681909561157227,136692.08231675284,369.71892339553415,369.71892339553415,11.421653487659029,0.0
holt_winters,classical,7,2024-09-30,2519.4,3150.695451548903,0.029683828353881836,398533.947146333,631.2954515489027,631.2954515489027,25.057372848649585,100.0
holt_winters,classical,8,2024-10-31,2607.8,2680.032176703668,0.016692399978637695,5217.487351349896,72.23217670366785,72.23217670366785,2.7698510891811132,100.0
holt_winters,classical,9,2024-11-30,2519.0,2650.7445342043793,0.01596522331237793,17356.62229272887,131.7445342043793,131.7445342043793,5.230033116489642,0.0
holt_winters,classical,10,2024-12-31,3708.4,2451.4654083581195,0.025044679641723633,1579884.567665941,1256.9345916418806,1256.9345916418806,33.89425605764876,0.0
moirai,foundation,1,2024-03-31,3339.2,1751.2003173828125,0.7307336330413818,2521742.991992288,1587.9996826171873,1587.9996826171873,47.556291405640266,0.0
